3; 2023-11-30; Легкий; Безымянный
5; 2023-11-30; Легкий; Безымянный
8; 2023-11-30; Легкий; Безымянный
9; 2023-11-30; Легкий; Безымянный
2; 2023-11-30; Легкий; Безымянный
11; 2023-11-30; Легкий; Безымянный
3; 2023-11-30; Легкий; Безымянный
3; 2023-11-30; Легкий; Безымянный
2; 2023-11-30; Легкий; Безымянный
4; 2023-11-30; Легкий; Безымянный
3; 2023-11-30; Легкий; Безымянный
4; 2023-11-30; Легкий; Безымянный
4; 2023-11-30; Легкий; Безымянный
13; 2023-11-30; Средний; Безымянный
5; 2023-11-30; Средний; Безымянный
5; 2023-11-30; Легкий; Безымянный
6; 2023-11-30; Легкий; Безымянный
3; 2023-11-30; Легкий; Безымянный
4; 2023-11-30; Легкий; Безымянный
2; 2023-11-30; Легкий; Безымянный
9; 2023-11-30; Легкий; Безымянный
4; 2023-11-30; Легкий; Безымянный
4; 2023-11-30; Легкий; Безымянный
7; 2023-11-30; Легкий; Безымянный
2; 2023-11-30; Легкий; Безымянный
7; 2023-11-30; Легкий; Безымянный
2; 2023-11-30; Легкий; Безымянный
3; 2023-11-30; Легкий; Безымянный
5; 2023-11-30; Легкий; Безымянный
35; 2023-11-30; Легкий; Безымянный
3; 2023-11-30; Легкий; Безымянный
6; 2023-11-30; Легкий; Безымянный
5; 2023-11-30; Легкий; Безымянный
4; 2023-11-30; Легкий; Безымянный
5; 2023-11-30; Легкий; Безымянный
3; 2023-11-30; Легкий; Безымянный
